Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = True
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 6000
lr_decay_iters = 6000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

[W Utils.hpp:135] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function getCvarInt)
tokens per iteration will be: 491,520
Resuming training from out
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
[rank0]:[W Utils.hpp:108] Warning: Environment variable NCCL_ASYNC_ERROR_HANDLING is deprecated; use TORCH_NCCL_ASYNC_ERROR_HANDLING instead (function getCvarString)
wandb: Currently logged in as: newton-sander (seek-ae). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.5
wandb: Run data is saved locally in /home/ubuntu/workspace/nanoGPT/wandb/run-20240801_150833-mvtm5kj1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run gpt2-124M
wandb: ⭐️ View project at https://wandb.ai/seek-ae/owt
wandb: 🚀 View run at https://wandb.ai/seek-ae/owt/runs/mvtm5kj1
iter 3130: loss 3.5421, time 9827.04ms, mfu 13.42%
iter 3140: loss 3.6171, time 9826.69ms, mfu 13.45%
iter 3150: loss 3.6278, time 9826.60ms, mfu 13.47%
iter 3160: loss 3.6320, time 9826.87ms, mfu 13.50%
iter 3170: loss 3.5524, time 9826.57ms, mfu 13.52%
iter 3180: loss 3.5430, time 9828.25ms, mfu 13.54%
iter 3190: loss 3.4258, time 9827.17ms, mfu 13.55%
iter 3200: loss 3.3604, time 9826.63ms, mfu 13.57%
iter 3210: loss 3.3898, time 9827.57ms, mfu 13.58%
iter 3220: loss 3.5211, time 9827.25ms, mfu 13.59%
iter 3230: loss 3.4230, time 9827.25ms, mfu 13.60%
iter 3240: loss 3.4524, time 9827.73ms, mfu 13.61%
iter 3250: loss 3.3267, time 9827.72ms, mfu 13.62%
iter 3260: loss 3.2162, time 9827.26ms, mfu 13.63%
iter 3270: loss 3.4029, time 9827.58ms, mfu 13.64%
iter 3280: loss 3.3220, time 9827.08ms, mfu 13.64%
iter 3290: loss 3.4851, time 9827.89ms, mfu 13.65%
iter 3300: loss 3.4838, time 9826.94ms, mfu 13.66%
iter 3310: loss 3.4128, time 9827.25ms, mfu 13.66%
iter 3320: loss 3.5277, time 9827.93ms, mfu 13.66%
iter 3330: loss 3.4989, time 9828.07ms, mfu 13.67%
iter 3340: loss 3.3560, time 9828.61ms, mfu 13.67%
iter 3350: loss 3.6110, time 9828.25ms, mfu 13.67%
iter 3360: loss 3.5266, time 9827.70ms, mfu 13.68%
iter 3370: loss 3.3334, time 9827.29ms, mfu 13.68%
iter 3380: loss 3.4108, time 9827.92ms, mfu 13.68%
iter 3390: loss 3.6330, time 9826.81ms, mfu 13.68%
iter 3400: loss 3.2802, time 9827.85ms, mfu 13.69%
iter 3410: loss 3.5872, time 9827.10ms, mfu 13.69%
iter 3420: loss 3.3048, time 9827.56ms, mfu 13.69%
iter 3430: loss 3.4584, time 9828.10ms, mfu 13.69%
iter 3440: loss 3.5260, time 9827.29ms, mfu 13.69%
iter 3450: loss 3.5212, time 9827.80ms, mfu 13.69%
iter 3460: loss 3.4676, time 9827.09ms, mfu 13.69%
iter 3470: loss 3.5147, time 9827.31ms, mfu 13.69%
iter 3480: loss 3.4365, time 9827.59ms, mfu 13.70%
iter 3490: loss 3.3973, time 9827.67ms, mfu 13.70%
iter 3500: loss 3.4964, time 9827.82ms, mfu 13.70%
iter 3510: loss 3.5712, time 9827.03ms, mfu 13.70%
iter 3520: loss 3.4569, time 9827.76ms, mfu 13.70%
iter 3530: loss 3.4539, time 9827.24ms, mfu 13.70%
iter 3540: loss 3.2355, time 9827.17ms, mfu 13.70%
