timestamp,gpu_index,temperature_C,utilization_gpu_percent,power_W
2025-09-24T03:41:53.814Z,7, 23, 0, 73.37
2025-09-24T03:41:54.137Z,0, 23, 0, 73.42
2025-09-24T03:41:54.137Z,1, 42, 0, 81.40
2025-09-24T03:41:54.137Z,2, 24, 0, 79.39
2025-09-24T03:41:54.137Z,3, 23, 0, 72.20
2025-09-24T03:41:54.137Z,4, 24, 0, 73.04
2025-09-24T03:41:54.137Z,5, 22, 0, 73.48
2025-09-24T03:41:54.137Z,6, 24, 0, 74.35
2025-09-24T03:41:54.137Z,7, 23, 0, 73.37
2025-09-24T03:41:54.476Z,0, 23, 0, 73.42
2025-09-24T03:41:54.476Z,1, 42, 0, 81.38
2025-09-24T03:41:54.476Z,2, 24, 0, 79.36
2025-09-24T03:41:54.476Z,3, 23, 0, 72.17
2025-09-24T03:41:54.476Z,4, 24, 0, 73.03
2025-09-24T03:41:54.476Z,5, 22, 0, 73.47
2025-09-24T03:41:54.476Z,6, 24, 0, 74.39
2025-09-24T03:41:54.476Z,7, 23, 0, 73.36
2025-09-24T03:41:54.784Z,0, 23, 0, 73.44
2025-09-24T03:41:54.784Z,1, 42, 0, 81.38
2025-09-24T03:41:54.784Z,2, 24, 0, 79.39
2025-09-24T03:41:54.784Z,3, 23, 0, 72.15
2025-09-24T03:41:54.784Z,4, 24, 0, 72.99
2025-09-24T03:41:54.784Z,5, 22, 0, 73.49
2025-09-24T03:41:54.784Z,6, 24, 0, 74.36
2025-09-24T03:41:54.784Z,7, 23, 0, 73.36
2025-09-24T03:41:55.438Z,0, 23, 0, 73.38
2025-09-24T03:41:55.438Z,1, 42, 0, 81.34
2025-09-24T03:41:55.438Z,2, 24, 0, 79.34
2025-09-24T03:41:55.438Z,3, 23, 0, 72.14
2025-09-24T03:41:55.438Z,4, 24, 0, 73.04
2025-09-24T03:41:55.438Z,5, 22, 0, 73.50
2025-09-24T03:41:55.438Z,6, 24, 0, 74.36
2025-09-24T03:41:55.438Z,7, 23, 0, 73.42
2025-09-24T03:41:57.745Z,0, 23, 0, 73.45
2025-09-24T03:41:57.745Z,1, 42, 0, 81.36
2025-09-24T03:41:57.745Z,2, 24, 0, 79.49
2025-09-24T03:41:57.745Z,3, 23, 0, 72.18
2025-09-24T03:41:57.745Z,4, 24, 0, 73.00
2025-09-24T03:41:57.745Z,5, 22, 0, 73.51
2025-09-24T03:41:57.745Z,6, 24, 0, 74.33
2025-09-24T03:41:57.745Z,7, 23, 0, 73.42
2025-09-24T03:41:59.822Z,0, 23, 0, 73.40
2025-09-24T03:41:59.822Z,1, 42, 0, 81.36
2025-09-24T03:41:59.822Z,2, 24, 0, 79.38
2025-09-24T03:41:59.822Z,3, 23, 0, 72.20
2025-09-24T03:41:59.822Z,4, 24, 0, 73.03
2025-09-24T03:41:59.822Z,5, 22, 0, 73.49
2025-09-24T03:41:59.822Z,6, 24, 0, 74.32
2025-09-24T03:41:59.822Z,7, 24, 0, 91.41
2025-09-24T03:42:00.711Z,0, 25, 1, 113.27
2025-09-24T03:42:00.711Z,1, 43, 0, 98.28
2025-09-24T03:42:00.711Z,2, 25, 0, 101.82
2025-09-24T03:42:00.711Z,3, 24, 0, 98.40
2025-09-24T03:42:00.711Z,4, 26, 0, 119.67
2025-09-24T03:42:00.711Z,5, 23, 0, 98.18
2025-09-24T03:42:00.711Z,6, 25, 0, 100.03
2025-09-24T03:42:00.711Z,7, 24, 0, 117.47
2025-09-24T03:42:01.957Z,0, 25, 0, 119.70
2025-09-24T03:42:01.957Z,1, 44, 1, 118.26
2025-09-24T03:42:01.957Z,2, 25, 1, 117.70
2025-09-24T03:42:01.957Z,3, 24, 1, 113.93
2025-09-24T03:42:01.957Z,4, 26, 0, 118.47
2025-09-24T03:42:01.957Z,5, 23, 1, 111.92
