step,layer_name,layer_type,shape,max_rank,threshold_rank_tau_0.01,entropy_rank_tau_0.01,stable_rank_tau_0.01,threshold_rank_tau_0.05,entropy_rank_tau_0.05,stable_rank_tau_0.05,threshold_rank_tau_0.1,entropy_rank_tau_0.1,stable_rank_tau_0.1,threshold_rank_tau_0.2,entropy_rank_tau_0.2,stable_rank_tau_0.2,threshold_rank_tau_0.5,entropy_rank_tau_0.5,stable_rank_tau_0.5
50,transformer.h.5.mlp.c_fc.weight,mlp,(1536x384),384,6,1.32,1.06,4,1.32,1.06,3,1.32,1.06,2,1.32,1.06,1,1.32,1.06
50,transformer.h.5.mlp.c_proj.weight,mlp,(384x1536),384,10,1.65,1.14,5,1.65,1.14,4,1.65,1.14,2,1.65,1.14,1,1.65,1.14
75,transformer.wte.weight,unknown,(50304x384),384,100,5.88,2.32,14,5.88,2.32,10,5.88,2.32,7,5.88,2.32,2,5.88,2.32
75,transformer.wpe.weight,unknown,(256x384),256,100,6.94,2.71,32,6.94,2.71,9,6.94,2.71,6,6.94,2.71,3,6.94,2.71
75,transformer.h.0.attn.c_attn.weight,attention,(1152x384),384,44,3.21,1.36,13,3.21,1.36,8,3.21,1.36,4,3.21,1.36,1,3.21,1.36
75,transformer.h.0.attn.c_proj.weight,attention_proj,(384x384),384,10,2.01,1.30,4,2.01,1.30,3,2.01,1.30,3,2.01,1.30,1,2.01,1.30
75,transformer.h.0.mlp.c_fc.weight,mlp,(1536x384),384,13,2.03,1.24,4,2.03,1.24,4,2.03,1.24,3,2.03,1.24,1,2.03,1.24
75,transformer.h.0.mlp.c_proj.weight,mlp,(384x1536),384,24,3.68,1.97,10,3.68,1.97,6,3.68,1.97,4,3.68,1.97,2,3.68,1.97
75,transformer.h.1.attn.c_attn.weight,attention,(1152x384),384,21,2.64,1.47,5,2.64,1.47,4,2.64,1.47,3,2.64,1.47,1,2.64,1.47
75,transformer.h.1.attn.c_proj.weight,attention_proj,(384x384),384,18,2.32,1.31,6,2.32,1.31,4,2.32,1.31,3,2.32,1.31,1,2.32,1.31
75,transformer.h.1.mlp.c_fc.weight,mlp,(1536x384),384,20,3.71,2.41,6,3.71,2.41,4,3.71,2.41,4,3.71,2.41,3,3.71,2.41
75,transformer.h.1.mlp.c_proj.weight,mlp,(384x1536),384,18,2.87,1.49,6,2.87,1.49,5,2.87,1.49,4,2.87,1.49,1,2.87,1.49
75,transformer.h.2.attn.c_attn.weight,attention,(1152x384),384,12,2.44,1.44,5,2.44,1.44,4,2.44,1.44,3,2.44,1.44,2,2.44,1.44
75,transformer.h.2.attn.c_proj.weight,attention_proj,(384x384),384,22,3.45,2.04,10,3.45,2.04,5,3.45,2.04,3,3.45,2.04,3,3.45,2.04
75,transformer.h.2.mlp.c_fc.weight,mlp,(1536x384),384,17,3.36,1.89,5,3.36,1.89,4,3.36,1.89,4,3.36,1.89,3,3.36,1.89
75,transformer.h.2.mlp.c_proj.weight,mlp,(384x1536),384,18,2.94,1.50,7,2.94,1.50,5,2.94,1.50,4,2.94,1.50,1,2.94,1.50
75,transformer.h.3.attn.c_attn.weight,attention,(1152x384),384,10,2.79,1.67,5,2.79,1.67,4,2.79,1.67,4,2.79,1.67,2,2.79,1.67
75,transformer.h.3.attn.c_proj.weight,attention_proj,(384x384),384,20,1.92,1.18,6,1.92,1.18,4,1.92,1.18,3,1.92,1.18,1,1.92,1.18
75,transformer.h.3.mlp.c_fc.weight,mlp,(1536x384),384,14,3.03,1.74,5,3.03,1.74,4,3.03,1.74,4,3.03,1.74,2,3.03,1.74
75,transformer.h.3.mlp.c_proj.weight,mlp,(384x1536),384,18,2.80,1.46,7,2.80,1.46,5,2.80,1.46,4,2.80,1.46,1,2.80,1.46
75,transformer.h.4.attn.c_attn.weight,attention,(1152x384),384,8,2.39,1.59,5,2.39,1.59,4,2.39,1.59,3,2.39,1.59,2,2.39,1.59
75,transformer.h.4.attn.c_proj.weight,attention_proj,(384x384),384,20,2.23,1.27,6,2.23,1.27,4,2.23,1.27,4,2.23,1.27,1,2.23,1.27
75,transformer.h.4.mlp.c_fc.weight,mlp,(1536x384),384,12,2.64,1.66,5,2.64,1.66,4,2.64,1.66,4,2.64,1.66,2,2.64,1.66
75,transformer.h.4.mlp.c_proj.weight,mlp,(384x1536),384,18,2.65,1.42,7,2.65,1.42,5,2.65,1.42,3,2.65,1.42,1,2.65,1.42
75,transformer.h.5.attn.c_attn.weight,attention,(1152x384),384,7,1.52,1.13,4,1.52,1.13,3,1.52,1.13,2,1.52,1.13,1,1.52,1.13
75,transformer.h.5.attn.c_proj.weight,attention_proj,(384x384),384,14,1.44,1.10,3,1.44,1.10,2,1.44,1.10,2,1.44,1.10,1,1.44,1.10
75,transformer.h.5.mlp.c_fc.weight,mlp,(1536x384),384,9,2.42,1.60,4,2.42,1.60,4,2.42,1.60,3,2.42,1.60,2,2.42,1.60
75,transformer.h.5.mlp.c_proj.weight,mlp,(384x1536),384,18,2.53,1.39,7,2.53,1.39,5,2.53,1.39,3,2.53,1.39,1,2.53,1.39
100,transformer.wte.weight,unknown,(50304x384),384,100,7.12,2.98,18,7.12,2.98,11,7.12,2.98,8,7.12,2.98,4,7.12,2.98
100,transformer.wpe.weight,unknown,(256x384),256,100,7.31,2.86,46,7.31,2.86,10,7.31,2.86,5,7.31,2.86,3,7.31,2.86
100,transformer.h.0.attn.c_attn.weight,attention,(1152x384),384,89,6.03,2.17,20,6.03,2.17,11,6.03,2.17,6,6.03,2.17,2,6.03,2.17
100,transformer.h.0.attn.c_proj.weight,attention_proj,(384x384),384,17,3.05,2.00,6,3.05,2.00,5,3.05,2.00,3,3.05,2.00,2,3.05,2.00
100,transformer.h.0.mlp.c_fc.weight,mlp,(1536x384),384,22,2.69,1.46,7,2.69,1.46,5,2.69,1.46,4,2.69,1.46,2,2.69,1.46
100,transformer.h.0.mlp.c_proj.weight,mlp,(384x1536),384,33,4.77,2.26,12,4.77,2.26,8,4.77,2.26,6,4.77,2.26,3,4.77,2.26
100,transformer.h.1.attn.c_attn.weight,attention,(1152x384),384,32,3.19,1.63,6,3.19,1.63,5,3.19,1.63,4,3.19,1.63,2,3.19,1.63
100,transformer.h.1.attn.c_proj.weight,attention_proj,(384x384),384,27,2.93,1.57,9,2.93,1.57,5,2.93,1.57,3,2.93,1.57,2,2.93,1.57
100,transformer.h.1.mlp.c_fc.weight,mlp,(1536x384),384,28,3.35,1.82,8,3.35,1.82,5,3.35,1.82,4,3.35,1.82,2,3.35,1.82
100,transformer.h.1.mlp.c_proj.weight,mlp,(384x1536),384,38,4.18,2.07,11,4.18,2.07,9,4.18,2.07,5,4.18,2.07,2,4.18,2.07
100,transformer.h.2.attn.c_attn.weight,attention,(1152x384),384,33,3.29,1.69,9,3.29,1.69,6,3.29,1.69,4,3.29,1.69,2,3.29,1.69
100,transformer.h.2.attn.c_proj.weight,attention_proj,(384x384),384,28,4.17,2.03,12,4.17,2.03,7,4.17,2.03,4,4.17,2.03,3,4.17,2.03
100,transformer.h.2.mlp.c_fc.weight,mlp,(1536x384),384,30,3.58,1.79,9,3.58,1.79,6,3.58,1.79,4,3.58,1.79,2,3.58,1.79
100,transformer.h.2.mlp.c_proj.weight,mlp,(384x1536),384,38,4.43,2.01,11,4.43,2.01,9,4.43,2.01,5,4.43,2.01,3,4.43,2.01
100,transformer.h.3.attn.c_attn.weight,attention,(1152x384),384,31,3.88,1.95,8,3.88,1.95,6,3.88,1.95,5,3.88,1.95,2,3.88,1.95
100,transformer.h.3.attn.c_proj.weight,attention_proj,(384x384),384,34,4.30,1.86,12,4.30,1.86,8,4.30,1.86,5,4.30,1.86,2,4.30,1.86
100,transformer.h.3.mlp.c_fc.weight,mlp,(1536x384),384,25,3.05,1.52,8,3.05,1.52,5,3.05,1.52,4,3.05,1.52,2,3.05,1.52
100,transformer.h.3.mlp.c_proj.weight,mlp,(384x1536),384,28,3.32,1.48,10,3.32,1.48,8,3.32,1.48,5,3.32,1.48,1,3.32,1.48
100,transformer.h.4.attn.c_attn.weight,attention,(1152x384),384,27,3.52,1.78,7,3.52,1.78,6,3.52,1.78,5,3.52,1.78,2,3.52,1.78
100,transformer.h.4.attn.c_proj.weight,attention_proj,(384x384),384,36,4.31,1.84,13,4.31,1.84,8,4.31,1.84,5,4.31,1.84,2,4.31,1.84
100,transformer.h.4.mlp.c_fc.weight,mlp,(1536x384),384,18,2.54,1.36,7,2.54,1.36,5,2.54,1.36,4,2.54,1.36,1,2.54,1.36
100,transformer.h.4.mlp.c_proj.weight,mlp,(384x1536),384,26,3.16,1.44,10,3.16,1.44,7,3.16,1.44,4,3.16,1.44,1,3.16,1.44
100,transformer.h.5.attn.c_attn.weight,attention,(1152x384),384,14,1.77,1.16,4,1.77,1.16,4,1.77,1.16,3,1.77,1.16,1,1.77,1.16
100,transformer.h.5.attn.c_proj.weight,attention_proj,(384x384),384,28,1.96,1.22,7,1.96,1.22,3,1.96,1.22,2,1.96,1.22,1,1.96,1.22
100,transformer.h.5.mlp.c_fc.weight,mlp,(1536x384),384,14,2.16,1.27,6,2.16,1.27,4,2.16,1.27,3,2.16,1.27,1,2.16,1.27
100,transformer.h.5.mlp.c_proj.weight,mlp,(384x1536),384,22,2.44,1.26,10,2.44,1.26,6,2.44,1.26,4,2.44,1.26,1,2.44,1.26
125,transformer.wte.weight,unknown,(50304x384),384,100,7.12,2.40,19,7.12,2.40,12,7.12,2.40,8,7.12,2.40,2,7.12,2.40
125,transformer.wpe.weight,unknown,(256x384),256,100,6.78,2.71,36,6.78,2.71,9,6.78,2.71,4,6.78,2.71,3,6.78,2.71
125,transformer.h.0.attn.c_attn.weight,attention,(1152x384),384,84,5.61,1.97,19,5.61,1.97,11,5.61,1.97,6,5.61,1.97,2,5.61,1.97
125,transformer.h.0.attn.c_proj.weight,attention_proj,(384x384),384,19,3.59,2.22,7,3.59,2.22,5,3.59,2.22,4,3.59,2.22,3,3.59,2.22
125,transformer.h.0.mlp.c_fc.weight,mlp,(1536x384),384,33,3.89,2.40,9,3.89,2.40,6,3.89,2.40,4,3.89,2.40,3,3.89,2.40
125,transformer.h.0.mlp.c_proj.weight,mlp,(384x1536),384,27,3.66,1.63,12,3.66,1.63,7,3.66,1.63,5,3.66,1.63,2,3.66,1.63
125,transformer.h.1.attn.c_attn.weight,attention,(1152x384),384,40,3.60,1.92,9,3.60,1.92,5,3.60,1.92,4,3.60,1.92,2,3.60,1.92
125,transformer.h.1.attn.c_proj.weight,attention_proj,(384x384),384,23,2.15,1.23,8,2.15,1.23,4,2.15,1.23,3,2.15,1.23,1,2.15,1.23
125,transformer.h.1.mlp.c_fc.weight,mlp,(1536x384),384,30,3.30,1.56,9,3.30,1.56,6,3.30,1.56,4,3.30,1.56,1,3.30,1.56
125,transformer.h.1.mlp.c_proj.weight,mlp,(384x1536),384,21,2.40,1.25,9,2.40,1.25,6,2.40,1.25,3,2.40,1.25,1,2.40,1.25
125,transformer.h.2.attn.c_attn.weight,attention,(1152x384),384,28,3.47,2.00,8,3.47,2.00,5,3.47,2.00,4,3.47,2.00,2,3.47,2.00
125,transformer.h.2.attn.c_proj.weight,attention_proj,(384x384),384,24,2.90,1.59,9,2.90,1.59,6,2.90,1.59,3,2.90,1.59,2,2.90,1.59
125,transformer.h.2.mlp.c_fc.weight,mlp,(1536x384),384,22,2.57,1.34,8,2.57,1.34,5,2.57,1.34,4,2.57,1.34,1,2.57,1.34
125,transformer.h.2.mlp.c_proj.weight,mlp,(384x1536),384,23,2.80,1.33,10,2.80,1.33,8,2.80,1.33,4,2.80,1.33,1,2.80,1.33
125,transformer.h.3.attn.c_attn.weight,attention,(1152x384),384,36,4.90,2.39,10,4.90,2.39,7,4.90,2.39,5,4.90,2.39,4,4.90,2.39
