MPID;WikiDataLink;WikipediaLink;Name;LastName;Born;SexOrGender;Occupation;Religion;AbgeordnetenwatchID
1686;http://www.wikidata.org/entity/Q1580803;https://de.wikipedia.org/wiki/Hans_Kohlmann;Hans Kohlmann;Kohlmann;11.07.1934 00:00;männlich;['Politiker'];;
1687;http://www.wikidata.org/entity/Q1268745;https://de.wikipedia.org/wiki/Hermann_Knipfer;Hermann Knipfer;Knipfer;09.08.1934 00:00;männlich;['Gewerkschafter', 'Politiker'];;
1688;http://www.wikidata.org/entity/Q1690449;https://de.wikipedia.org/wiki/Joachim_Schmolcke;Joachim Schmolcke;;16.08.1934 00:00;männlich;['Politiker'];;
1689;http://www.wikidata.org/entity/Q2172766;https://de.wikipedia.org/wiki/Rudolf_Grafberger;Rudolf Grafberger;;12.10.1934 00:00;männlich;['Politiker'];;
1690;http://www.wikidata.org/entity/Q2148464;https://de.wikipedia.org/wiki/Ria_Burkei;Ria Burkei;;28.01.1935 00:00;weiblich;['Politiker'];;
1691;http://www.wikidata.org/entity/Q1435975;https://de.wikipedia.org/wiki/Max_Brandl_(Politiker,_1935);Max Brandl;Brandl;03.02.1935 00:00;männlich;['Politiker'];;
1692;http://www.wikidata.org/entity/Q1608484;https://de.wikipedia.org/wiki/Herbert_Huber_(Politiker,_1935);Herbert Huber;Huber;03.02.1935 00:00;männlich;['Politiker'];;
1693;http://www.wikidata.org/entity/Q1874910;https://de.wikipedia.org/wiki/Ludwig_Ritter;Ludwig Ritter;Ritter;03.02.1935 00:00;männlich;['Politiker'];;
1694;http://www.wikidata.org/entity/Q2591038;https://de.wikipedia.org/wiki/Wolfgang_Ro%C3%9F;Wolfgang Roß;Roß;08.02.1935 00:00;männlich;['Politiker'];;
1695;http://www.wikidata.org/entity/Q1359513;https://de.wikipedia.org/wiki/Ernst_Michl;Ernst Michl;Michl;09.02.1935 00:00;männlich;['Politiker'];;
1696;http://www.wikidata.org/entity/Q1305309;https://de.wikipedia.org/wiki/Sepp_Klasen;Sepp Klasen;Klasen;02.03.1935 00:00;männlich;['Politiker'];;
1697;http://www.wikidata.org/entity/Q1582928;https://de.wikipedia.org/wiki/Hans_Wagner_(Politiker,_1935);Hans Wagner;Wagner;15.03.1935 00:00;männlich;['Politiker', 'Rechtsanwalt'];;
1698;http://www.wikidata.org/entity/Q1608385;https://de.wikipedia.org/wiki/Herbert_G%C3%BCthlein;Herbert Güthlein;Güthlein;25.03.1935 00:00;männlich;['Politiker', 'Richter'];;
