_runtime,Sample Generation,_timestamp,train/step_loss,_step,val/loss,lr,iter,train/loss,seed
135.7815147,,1779640155.4595766,1.3969693183898926,88,,,840.0,,3740
136.764081,,1779640156.4430969,1.3831599950790405,89,,,850.0,,3740
137.7580697,,1779640157.43705,1.3814351558685303,90,,,860.0,,3740
138.7467862,,1779640158.4257996,1.3740187883377075,91,,,870.0,,3740
139.7313511,,1779640159.4103682,1.4381158351898193,92,,,880.0,,3740
140.7231735,,1779640160.4021897,1.3942484855651855,93,,,890.0,,3740
141.7133699,,1779640161.392106,1.3203986883163452,94,,,900.0,,3740
142.69818,,1779640162.377003,1.3262453079223633,95,,,910.0,,3740
143.6888428,,1779640163.3676388,1.3836766481399536,96,,,920.0,,3740
144.6695112,,1779640164.3484008,1.3686145544052124,97,,,930.0,,3740
145.6538929,,1779640165.3334138,1.3815451860427856,98,,,940.0,,3740
146.6448132,,1779640166.3238285,1.3512929677963257,99,,,950.0,,3740
147.6328436,,1779640167.31186,1.3581173419952393,100,,,960.0,,3740
148.6243355,,1779640168.3033497,1.3486049175262451,101,,,970.0,,3740
149.6153878,,1779640169.2944036,1.3185380697250366,102,,,980.0,,3740
150.6021785,,1779640170.2811708,1.3614243268966675,103,,,990.0,,3740
164.4476357,,1779640184.1266506,,104,1.5270787477493286,0.0009271396472013282,1000.0,1.272407054901123,3740
164.5573501,,1779640184.236134,1.3263481855392456,105,,,1000.0,,3740
165.5591141,,1779640185.237861,1.3500961065292358,106,,,1010.0,,3740
166.5467471,,1779640186.225764,1.3413701057434082,107,,,1020.0,,3740
167.542319,,1779640187.221334,1.3339259624481201,108,,,1030.0,,3740
168.5257168,,1779640188.2042391,1.326554775238037,109,,,1040.0,,3740
169.5184093,,1779640189.197426,1.3563400506973267,110,,,1050.0,,3740
170.5147983,,1779640190.193515,1.3379114866256714,111,,,1060.0,,3740
171.4962205,,1779640191.175238,1.317029595375061,112,,,1070.0,,3740
172.4881954,,1779640192.1670187,1.3014991283416748,113,,,1080.0,,3740
173.5033106,,1779640193.1820726,1.3254808187484741,114,,,1090.0,,3740
174.5594858,,1779640194.238503,1.3372913599014282,115,,,1100.0,,3740
175.6009217,,1779640195.280443,1.3209812641143799,116,,,1110.0,,3740
176.607958,,1779640196.286073,1.3080335855484009,117,,,1120.0,,3740
177.597294,,1779640197.276003,1.3166301250457764,118,,,1130.0,,3740
178.5911719,,1779640198.2701852,1.338545560836792,119,,,1140.0,,3740
179.5778319,,1779640199.2568479,1.3223216533660889,120,,,1150.0,,3740
180.5798741,,1779640200.2579734,1.304661512374878,121,,,1160.0,,3740
181.6123647,,1779640201.2913792,1.28368079662323,122,,,1170.0,,3740
182.6430095,,1779640202.3217268,1.2896713018417358,123,,,1180.0,,3740
183.6753231,,1779640203.3543234,1.2812923192977905,124,,,1190.0,,3740
184.626782,,1779640204.3047938,1.2919225692749023,125,,,1200.0,,3740
185.593655,,1779640205.272582,1.2774335145950317,126,,,1210.0,,3740
186.5348088,,1779640206.2138238,1.2763307094573975,127,,,1220.0,,3740
187.4881431,,1779640207.1671293,1.277989387512207,128,,,1230.0,,3740
188.4398725,,1779640208.1188862,1.2680542469024658,129,,,1240.0,,3740
202.0135796,,1779640221.692252,,130,1.4933056831359863,0.000883125098683892,1250.0,1.2141708135604858,3740
202.1135008,,1779640221.792516,1.3123266696929932,131,,,1250.0,,3740
203.054532,,1779640222.7316566,1.2842674255371094,132,,,1260.0,,3740
203.9922241,,1779640223.6713047,1.2487224340438843,133,,,1270.0,,3740
204.9278308,,1779640224.6067429,1.293929934501648,134,,,1280.0,,3740
205.868396,,1779640225.5474072,1.251955509185791,135,,,1290.0,,3740
206.8263528,,1779640226.5053668,1.294473648071289,136,,,1300.0,,3740
207.8013636,,1779640227.4803789,1.2789363861083984,137,,,1310.0,,3740
208.8600469,,1779640228.5389376,1.2268743515014648,138,,,1320.0,,3740
209.8704393,,1779640229.5494537,1.2410249710083008,139,,,1330.0,,3740
210.922408,,1779640230.6014209,1.2586846351623535,140,,,1340.0,,3740
212.0746847,,1779640231.7524402,1.2777385711669922,141,,,1350.0,,3740
213.16853,,1779640232.8475447,1.2883156538009644,142,,,1360.0,,3740
214.2078135,,1779640233.8868275,1.2441121339797974,143,,,1370.0,,3740
215.2214919,,1779640234.9005086,1.252646565437317,144,,,1380.0,,3740
216.1652356,,1779640235.8428743,1.2677444219589233,145,,,1390.0,,3740
