_runtime,train/step_loss,lr,_timestamp,iter,_step,val/loss,train/loss,Sample Generation,seed
190.7397901,1.36171293258667,,1779708234.3906586,720.0,75,,,,6242
192.4759495,1.358140468597412,,1779708236.126552,730.0,76,,,,6242
194.2432971,1.3732101917266846,,1779708237.8941588,740.0,77,,,,6242
219.7680016,,0.0009614856803571157,1779708263.4186993,750.0,78,1.5454139709472656,1.2759677171707153,,6242
219.9365449,1.3390519618988037,,1779708263.587417,750.0,79,,,,6242
221.5771641,1.3067845106124878,,1779708265.2280324,760.0,80,,,,6242
223.2361336,1.3497811555862427,,1779708266.8865008,770.0,81,,,,6242
224.9558456,1.3467347621917725,,1779708268.6067147,780.0,82,,,,6242
226.6098679,1.3572756052017212,,1779708270.2609186,790.0,83,,,,6242
228.2544939,1.3401310443878174,,1779708271.9048817,800.0,84,,,,6242
229.9404328,1.3121448755264282,,1779708273.591273,810.0,85,,,,6242
231.6257617,1.364280343055725,,1779708275.2757387,820.0,86,,,,6242
233.3530522,1.3283191919326782,,1779708277.0039234,830.0,87,,,,6242
235.0688757,1.3038573265075684,,1779708278.7194068,840.0,88,,,,6242
236.7172634,1.312238097190857,,1779708280.3671527,850.0,89,,,,6242
238.3590266,1.3057644367218018,,1779708282.0098956,860.0,90,,,,6242
240.0087499,1.2977874279022217,,1779708283.6595962,870.0,91,,,,6242
241.654733,1.319649338722229,,1779708285.3055782,880.0,92,,,,6242
243.2984647,1.3208401203155518,,1779708286.9493346,890.0,93,,,,6242
245.0063119,1.3255767822265625,,1779708288.6571827,900.0,94,,,,6242
246.750555,1.284631371498108,,1779708290.4009297,910.0,95,,,,6242
248.4868499,1.2980446815490723,,1779708292.137475,920.0,96,,,,6242
250.217915,1.2944731712341309,,1779708293.867996,930.0,97,,,,6242
251.8888116,1.2803175449371338,,1779708295.5394287,940.0,98,,,,6242
253.572764,1.3029601573944092,,1779708297.22335,950.0,99,,,,6242
255.2612712,1.2953699827194214,,1779708298.9120834,960.0,100,,,,6242
256.9434858,1.2767045497894287,,1779708300.593938,970.0,101,,,,6242
258.6326148,1.2887403964996338,,1779708302.2827184,980.0,102,,,,6242
260.3139851,1.292547345161438,,1779708303.9647262,990.0,103,,,,6242
285.8121132,,0.0009271396472013282,1779708329.4629822,1000.0,104,1.5077357292175293,1.2001054286956787,,6242
285.9919834,1.257066249847412,,1779708329.6428516,1000.0,105,,,,6242
287.6511634,1.2943389415740967,,1779708331.3018694,1010.0,106,,,,6242
289.3138046,1.281491756439209,,1779708332.964674,1020.0,107,,,,6242
290.9606352,1.23490571975708,,1779708334.6113431,1030.0,108,,,,6242
292.6412758,1.2356959581375122,,1779708336.292146,1040.0,109,,,,6242
294.3411228,1.2845618724822998,,1779708337.991991,1050.0,110,,,,6242
296.0285639,1.289147138595581,,1779708339.6793098,1060.0,111,,,,6242
297.7127951,1.2565908432006836,,1779708341.3636649,1070.0,112,,,,6242
299.4068442,1.2508643865585327,,1779708343.057357,1080.0,113,,,,6242
301.138617,1.2594554424285889,,1779708344.7891119,1090.0,114,,,,6242
302.8430994,1.278181552886963,,1779708346.493968,1100.0,115,,,,6242
304.5554432,1.2606791257858276,,1779708348.2055507,1110.0,116,,,,6242
306.2852366,1.2753050327301025,,1779708349.935317,1120.0,117,,,,6242
308.0054957,1.2587898969650269,,1779708351.656363,1130.0,118,,,,6242
309.7118372,1.2647716999053955,,1779708353.3627074,1140.0,119,,,,6242
311.405638,1.257075309753418,,1779708355.0565073,1150.0,120,,,,6242
313.0884813,1.2474910020828247,,1779708356.7390666,1160.0,121,,,,6242
314.7762109,1.2220748662948608,,1779708358.4270794,1170.0,122,,,,6242
316.4556988,1.2232959270477295,,1779708360.1062996,1180.0,123,,,,6242
318.1432825,1.2456696033477783,,1779708361.7941484,1190.0,124,,,,6242
319.8791359,1.2576887607574463,,1779708363.5297036,1200.0,125,,,,6242
321.6225283,1.2354168891906738,,1779708365.273371,1210.0,126,,,,6242
323.2973193,1.2440255880355835,,1779708366.948079,1220.0,127,,,,6242
324.9751546,1.2459304332733154,,1779708368.6260161,1230.0,128,,,,6242
326.6741822,1.2140408754348755,,1779708370.3248425,1240.0,129,,,,6242
351.7516052,,0.000883125098683892,1779708395.4026158,1250.0,130,1.4956425428390503,1.143363356590271,,6242
351.9228551,1.2554643154144287,,1779708395.573662,1250.0,131,,,,6242
353.5818106,1.213313102722168,,1779708397.233186,1260.0,132,,,,6242
355.3374932,1.2269971370697021,,1779708398.988336,1270.0,133,,,,6242
356.9931266,1.1910088062286377,,1779708400.644502,1280.0,134,,,,6242
358.6416654,1.1951559782028198,,1779708402.2923648,1290.0,135,,,,6242
360.2899628,1.2097514867782593,,1779708403.9405894,1300.0,136,,,,6242
361.9383905,1.216639757156372,,1779708405.5888605,1310.0,137,,,,6242
363.5985143,1.2122200727462769,,1779708407.2493834,1320.0,138,,,,6242
365.2470784,1.2140324115753174,,1779708408.8971283,1330.0,139,,,,6242
366.9187712,1.2045308351516724,,1779708410.5696404,1340.0,140,,,,6242
368.6085716,1.2250856161117554,,1779708412.2588303,1350.0,141,,,,6242
370.2812431,1.2141871452331543,,1779708413.932111,1360.0,142,,,,6242
371.946922,1.2340755462646484,,1779708415.596859,1370.0,143,,,,6242
