_runtime,Sample Generation,iter,_step,val/loss,_timestamp,train/step_loss,train/loss,lr,seed
44.605061,,250.0,26,2.1123530864715576,1779632400.7962432,,2.0177488327026367,0.0009979206008271391,3740
44.6942995,,250.0,27,,1779632400.886084,2.078296661376953,,,3740
45.5389389,,260.0,28,,1779632401.7307022,2.043398141860962,,,3740
46.3858063,,270.0,29,,1779632402.577452,2.0101394653320312,,,3740
47.2661581,,280.0,30,,1779632403.4580276,1.994270920753479,,,3740
48.155011,,290.0,31,,1779632404.3460245,1.932602047920227,,,3740
49.0167141,,300.0,32,,1779632405.2077396,1.9290105104446411,,,3740
49.8699286,,310.0,33,,1779632406.0617132,1.8716909885406494,,,3740
50.7244339,,320.0,34,,1779632406.915368,1.9222263097763062,,,3740
51.5820582,,330.0,35,,1779632407.7733576,1.845770239830017,,,3740
52.4384442,,340.0,36,,1779632408.6302285,1.84882390499115,,,3740
53.2894296,,350.0,37,,1779632409.4812143,1.8242889642715454,,,3740
54.1379228,,360.0,38,,1779632410.329186,1.8050150871276855,,,3740
54.9890062,,370.0,39,,1779632411.1803093,1.7955771684646606,,,3740
55.8376758,,380.0,40,,1779632412.0289626,1.7311400175094604,,,3740
56.6863209,,390.0,41,,1779632412.8778677,1.7430250644683838,,,3740
57.5339332,,400.0,42,,1779632413.7250605,1.7738184928894043,,,3740
58.3815509,,410.0,43,,1779632414.573335,1.7126567363739014,,,3740
59.2276357,,420.0,44,,1779632415.4194174,1.725319266319275,,,3740
60.0734859,,430.0,45,,1779632416.2652586,1.6752768754959106,,,3740
60.9213792,,440.0,46,,1779632417.113065,1.6786953210830688,,,3740
61.7676044,,450.0,47,,1779632417.959352,1.6405861377716064,,,3740
62.6131163,,460.0,48,,1779632418.8048553,1.6451513767242432,,,3740
63.458676,,470.0,49,,1779632419.6504602,1.6507530212402344,,,3740
64.3034425,,480.0,50,,1779632420.4952264,1.655309796333313,,,3740
65.1490686,,490.0,51,,1779632421.3399582,1.6006907224655151,,,3740
77.3362902,,500.0,52,1.720076560974121,1779632433.5278783,,1.5294796228408813,0.0009852826883675631,3740
77.425489,,500.0,53,,1779632433.6172726,1.6283152103424072,,,3740
78.2723356,,510.0,54,,1779632434.4631886,1.5894497632980347,,,3740
79.1178048,,520.0,55,,1779632435.3089118,1.5791728496551514,,,3740
79.9621301,,530.0,56,,1779632436.1539135,1.5999023914337158,,,3740
80.8084321,,540.0,57,,1779632437.0002153,1.605063796043396,,,3740
81.6570038,,550.0,58,,1779632437.8482,1.5745973587036133,,,3740
82.5042627,,560.0,59,,1779632438.6957943,1.550490379333496,,,3740
83.3531244,,570.0,60,,1779632439.5433314,1.517282485961914,,,3740
84.1980098,,580.0,61,,1779632440.389712,1.5211329460144043,,,3740
85.0425528,,590.0,62,,1779632441.2343333,1.5136264562606812,,,3740
85.8873776,,600.0,63,,1779632442.0788462,1.5181893110275269,,,3740
86.7330476,,610.0,64,,1779632442.9247885,1.5266592502593994,,,3740
87.5780363,,620.0,65,,1779632443.7698202,1.5245418548583984,,,3740
88.425537,,630.0,66,,1779632444.616747,1.5245057344436646,,,3740
89.2710029,,640.0,67,,1779632445.4627857,1.4914329051971436,,,3740
90.1192965,,650.0,68,,1779632446.310911,1.4539066553115845,,,3740
90.9644791,,660.0,69,,1779632447.155546,1.5085387229919434,,,3740
91.8092796,,670.0,70,,1779632448.0010657,1.490236520767212,,,3740
92.6564968,,680.0,71,,1779632448.848267,1.4964394569396973,,,3740
93.5013727,,690.0,72,,1779632449.6926222,1.4528030157089233,,,3740
94.3463257,,700.0,73,,1779632450.5370586,1.4389084577560425,,,3740
95.1942312,,710.0,74,,1779632451.3860142,1.4568517208099365,,,3740
96.0403651,,720.0,75,,1779632452.2316258,1.418649673461914,,,3740
96.8862951,,730.0,76,,1779632453.0773654,1.4583368301391602,,,3740
97.7319403,,740.0,77,,1779632453.9227288,1.4170458316802979,,,3740
109.8626998,,750.0,78,1.5809216499328613,1779632466.0541725,,1.3579837083816528,0.0009614856803571157,3740
109.953108,,750.0,79,,1779632466.1443508,1.4193140268325806,,,3740
110.7995991,,760.0,80,,1779632466.9906254,1.4221550226211548,,,3740
111.6443316,,770.0,81,,1779632467.8361156,1.4296516180038452,,,3740
112.4896912,,780.0,82,,1779632468.6814737,1.4473938941955566,,,3740
113.3339406,,790.0,83,,1779632469.5254118,1.4393433332443237,,,3740
