_timestamp,lr,_step,val/loss,iter,_runtime,Sample Generation,train/loss,train/step_loss,seed
1779698478.3868315,,121,,1160.0,195.7066742,,,1.279172420501709,2026
1779698479.472252,,122,,1170.0,196.7920882,,,1.2651528120040894,2026
1779698480.555086,,123,,1180.0,197.8749208,,,1.3063862323760986,2026
1779698481.718717,,124,,1190.0,199.0385536,,,1.2844222784042358,2026
1779698482.9701939,,125,,1200.0,200.2899391,,,1.266066312789917,2026
1779698484.164034,,126,,1210.0,201.4838675,,,1.2835556268692017,2026
1779698485.3183315,,127,,1220.0,202.6381668,,,1.2708897590637207,2026
1779698486.4455168,,128,,1230.0,203.7653496,,,1.3084747791290283,2026
1779698487.6337404,,129,,1240.0,204.9535819,,,1.2334016561508179,2026
1779698502.0303118,0.000883125098683892,130,1.501774549484253,1250.0,219.3510355,,1.2072864770889282,,2026
1779698502.1432972,,131,,1250.0,219.4632267,,,1.2752653360366821,2026
1779698503.2371428,,132,,1260.0,220.5569851,,,1.2656590938568115,2026
1779698504.3203323,,133,,1270.0,221.6401647,,,1.2426894903182983,2026
1779698505.447749,,134,,1280.0,222.7681736,,,1.3078492879867554,2026
1779698506.642108,,135,,1290.0,223.962207,,,1.269008755683899,2026
1779698507.777088,,136,,1300.0,225.097496,,,1.2706034183502197,2026
1779698508.902407,,137,,1310.0,226.2222412,,,1.2631267309188843,2026
1779698510.0256836,,138,,1320.0,227.3457652,,,1.2458255290985107,2026
1779698511.153555,,139,,1330.0,228.4733895,,,1.2444871664047241,2026
1779698512.2767675,,140,,1340.0,229.5967594,,,1.2755604982376099,2026
1779698513.4004076,,141,,1350.0,230.720241,,,1.2502208948135376,2026
1779698514.5235128,,142,,1360.0,231.8434401,,,1.2430996894836426,2026
1779698515.647463,,143,,1370.0,232.9672982,,,1.2594118118286133,2026
1779698516.7672892,,144,,1380.0,234.0872445,,,1.2384382486343384,2026
1779698517.8906,,145,,1390.0,235.210634,,,1.2476279735565186,2026
1779698519.016345,,146,,1400.0,236.3361806,,,1.2430464029312134,2026
1779698520.136608,,147,,1410.0,237.4566,,,1.2391103506088257,2026
1779698521.3350503,,148,,1420.0,238.6548827,,,1.2450861930847168,2026
1779698522.5082426,,149,,1430.0,239.8280751,,,1.2304521799087524,2026
1779698523.5892491,,150,,1440.0,240.9090825,,,1.231392741203308,2026
1779698524.6872082,,151,,1450.0,242.0070431,,,1.2318392992019653,2026
1779698525.7853498,,152,,1460.0,243.1051819,,,1.226542592048645,2026
1779698526.882587,,153,,1470.0,244.2025829,,,1.2405025959014893,2026
1779698527.9576085,,154,,1480.0,245.2774452,,,1.2331727743148804,2026
1779698529.0437002,,155,,1490.0,246.3645497,,,1.2192598581314087,2026
1779698543.4043572,0.0008305704108364302,156,1.4894485473632812,1500.0,260.7242576,,1.1550889015197754,,2026
1779698543.5181322,,157,,1500.0,260.8381466,,,1.2673386335372925,2026
1779698544.6147144,,158,,1510.0,261.9346548,,,1.2183595895767212,2026
1779698545.6920404,,159,,1520.0,263.0118731,,,1.195505142211914,2026
1779698546.7711532,,160,,1530.0,264.0909876,,,1.205061435699463,2026
1779698547.8701847,,161,,1540.0,265.1900633,,,1.206038236618042,2026
1779698548.9598749,,162,,1550.0,266.2792033,,,1.2296278476715088,2026
1779698550.0599146,,163,,1560.0,267.3797488,,,1.1903754472732544,2026
1779698551.212723,,164,,1570.0,268.5325591,,,1.2205498218536377,2026
