val/loss,_step,_timestamp,train/step_loss,_runtime,lr,iter,train/loss,Sample Generation,seed
,71,1779640897.6723368,1.376524806022644,111.7350372,,680.0,,,3740
,72,1779640898.715944,1.3952062129974365,112.7776506,,690.0,,,3740
,73,1779640899.7615726,1.4013618230819702,113.8232851,,700.0,,,3740
,74,1779640900.8179877,1.402671456336975,114.8796946,,710.0,,,3740
,75,1779640901.8678098,1.3735674619674683,115.9296871,,720.0,,,3740
,76,1779640902.9181685,1.361687421798706,116.9798746,,730.0,,,3740
,77,1779640903.9694006,1.3528242111206055,118.0310027,,740.0,,,3740
1.5492215156555176,78,1779640918.250666,,132.3128653,0.0009614856803571157,750.0,1.2952417135238647,,3740
,79,1779640918.361158,1.3594037294387817,132.4228664,,750.0,,,3740
,80,1779640919.4120107,1.3584036827087402,133.4746362,,760.0,,,3740
,81,1779640920.4603796,1.3574066162109375,134.5222156,,770.0,,,3740
,82,1779640921.5109706,1.347298502922058,135.5726809,,780.0,,,3740
,83,1779640922.5609896,1.3391770124435425,136.6227717,,790.0,,,3740
