lr,_runtime,_timestamp,train/loss,train/step_loss,iter,Sample Generation,_step,val/loss,seed
,343.5070123,1779629540.7485602,,1.2227444648742676,1110.0,,116,,3242
,345.6944609,1779629542.9360077,,1.2539194822311401,1120.0,,117,,3242
,347.8172078,1779629545.0587583,,1.2330125570297241,1130.0,,118,,3242
,349.901042,1779629547.1423423,,1.2357686758041382,1140.0,,119,,3242
,351.9930408,1779629549.234589,,1.25281822681427,1150.0,,120,,3242
,354.0743057,1779629551.3152528,,1.2317097187042236,1160.0,,121,,3242
,356.1669505,1779629553.4085002,,1.2140905857086182,1170.0,,122,,3242
,358.2513805,1779629555.4929297,,1.2160110473632812,1180.0,,123,,3242
,360.3423651,1779629557.583914,,1.210605502128601,1190.0,,124,,3242
,362.4637543,1779629559.7043016,,1.212012529373169,1200.0,,125,,3242
,364.5691389,1779629561.8104212,,1.219017505645752,1210.0,,126,,3242
,366.6575058,1779629563.8983629,,1.2245882749557495,1220.0,,127,,3242
,368.7421211,1779629565.9836679,,1.2262026071548462,1230.0,,128,,3242
,370.8002153,1779629568.041766,,1.1812459230422974,1240.0,,129,,3242
0.000883125098683892,397.540892,1779629594.781769,1.1176782846450806,,1250.0,,130,1.4778021574020386,3242
,397.7490385,1779629594.9905896,,1.2011224031448364,1250.0,,131,,3242
,399.787313,1779629597.0287833,,1.1896964311599731,1260.0,,132,,3242
,401.8351085,1779629599.0766582,,1.1909773349761963,1270.0,,133,,3242
,403.8785722,1779629601.1199095,,1.179823875427246,1280.0,,134,,3242
,405.933098,1779629603.1743407,,1.174520492553711,1290.0,,135,,3242
,407.9819522,1779629605.2227008,,1.1988210678100586,1300.0,,136,,3242
,410.0085037,1779629607.2497022,,1.1852495670318604,1310.0,,137,,3242
,412.0691102,1779629609.3104792,,1.205075979232788,1320.0,,138,,3242
,414.1079015,1779629611.349449,,1.1856693029403687,1330.0,,139,,3242
,416.1414955,1779629613.3827646,,1.1538316011428833,1340.0,,140,,3242
,418.1737043,1779629615.4138532,,1.1714297533035278,1350.0,,141,,3242
,420.2105035,1779629617.4520552,,1.170713186264038,1360.0,,142,,3242
,422.2370781,1779629619.4784286,,1.1730152368545532,1370.0,,143,,3242
,424.2787423,1779629621.5200384,,1.1636534929275513,1380.0,,144,,3242
,426.3101994,1779629623.5512688,,1.1576359272003174,1390.0,,145,,3242
,428.3255912,1779629625.5671403,,1.1896522045135498,1400.0,,146,,3242
,430.3540886,1779629627.5942388,,1.1394624710083008,1410.0,,147,,3242
,432.3689286,1779629629.6104782,,1.1466081142425537,1420.0,,148,,3242
,434.4039444,1779629631.6454937,,1.155062198638916,1430.0,,149,,3242
,436.4183143,1779629633.6598568,,1.1719965934753418,1440.0,,150,,3242
,438.441645,1779629635.683189,,1.1512991189956665,1450.0,,151,,3242
,440.4749711,1779629637.7159464,,1.1474815607070923,1460.0,,152,,3242
,442.4934756,1779629639.735024,,1.1312129497528076,1470.0,,153,,3242
,444.524828,1779629641.766154,,1.170499563217163,1480.0,,154,,3242
,446.5589675,1779629643.8005152,,1.152144193649292,1490.0,,155,,3242
0.0008305704108364302,472.989599,1779629670.231151,1.0456839799880981,,1500.0,,156,1.4850839376449585,3242
,473.1966221,1779629670.4372013,,1.152893304824829,1500.0,,157,,3242
,475.2149962,1779629672.4558175,,1.138468623161316,1510.0,,158,,3242
,477.2700116,1779629674.5115044,,1.1432937383651733,1520.0,,159,,3242
,479.2875866,1779629676.5280852,,1.1393120288848877,1530.0,,160,,3242
,481.322032,1779629678.563582,,1.141100525856018,1540.0,,161,,3242
,483.3384188,1779629680.5790677,,1.1224676370620728,1550.0,,162,,3242
,485.364951,1779629682.6065006,,1.1236052513122559,1560.0,,163,,3242
,487.3856402,1779629684.627192,,1.1284304857254028,1570.0,,164,,3242
,489.4069734,1779629686.6479518,,1.1073355674743652,1580.0,,165,,3242
,491.4193596,1779629688.6606464,,1.124814748764038,1590.0,,166,,3242
,493.4488358,1779629690.690384,,1.1267331838607788,1600.0,,167,,3242
,495.4719201,1779629692.7134697,,1.110558271408081,1610.0,,168,,3242
,497.5018456,1779629694.7433941,,1.090221881866455,1620.0,,169,,3242
,499.5508412,1779629696.7923877,,1.0909546613693237,1630.0,,170,,3242
,501.5754825,1779629698.8170314,,1.0866910219192505,1640.0,,171,,3242
,503.607969,1779629700.8494868,,1.0842636823654175,1650.0,,172,,3242
,505.6497743,1779629702.8913257,,1.1082111597061157,1660.0,,173,,3242
,507.6727871,1779629704.9143393,,1.093470573425293,1670.0,,174,,3242
,509.6930005,1779629706.934462,,1.101098656654358,1680.0,,175,,3242
,511.7105685,1779629708.95212,,1.1022920608520508,1690.0,,176,,3242
,513.741707,1779629710.9832537,,1.128266453742981,1700.0,,177,,3242
