lr,_step,iter,train/loss,train/step_loss,Sample Generation,_runtime,val/loss,_timestamp,seed
,62,590.0,,1.4543485641479492,,102.7420587,,1779714124.2406206,6242
,63,600.0,,1.4452461004257202,,103.7785939,,1779714125.27771,6242
,64,610.0,,1.4297255277633667,,104.8354992,,1779714126.334178,6242
,65,620.0,,1.4461292028427124,,105.9304061,,1779714127.4293778,6242
,66,630.0,,1.4611953496932983,,107.0136298,,1779714128.5125928,6242
,67,640.0,,1.4310483932495117,,108.1138141,,1779714129.6129117,6242
,68,650.0,,1.4288630485534668,,109.2132306,,1779714130.712252,6242
,69,660.0,,1.4315797090530396,,110.3066767,,1779714131.805864,6242
,70,670.0,,1.4047513008117676,,111.3934232,,1779714132.8923686,6242
,71,680.0,,1.3914755582809448,,112.490484,,1779714133.989701,6242
,72,690.0,,1.35625159740448,,113.6005002,,1779714135.0995648,6242
,73,700.0,,1.393520474433899,,114.6983015,,1779714136.1973846,6242
,74,710.0,,1.4227412939071655,,115.7880912,,1779714137.2868853,6242
,75,720.0,,1.375752568244934,,116.8853193,,1779714138.3843853,6242
,76,730.0,,1.3640609979629517,,117.9602722,,1779714139.4586082,6242
,77,740.0,,1.4159375429153442,,118.9979616,,1779714140.4970808,6242
0.0009614856803571157,78,750.0,1.3126641511917114,,,133.8818373,1.5536742210388184,1779714155.380466,6242
,79,750.0,,1.3710469007492065,,133.996008,,1779714155.4951339,6242
,80,760.0,,1.3451017141342163,,135.0923773,,1779714156.5899584,6242
,81,770.0,,1.3623334169387817,,136.1823912,,1779714157.6814637,6242
,82,780.0,,1.368078351020813,,137.2740275,,1779714158.7721763,6242
,83,790.0,,1.3387229442596436,,138.3717596,,1779714159.8708768,6242
