iter,train/loss,train/step_loss,lr,_timestamp,_runtime,val/loss,_step,Sample Generation,seed
590.0,,1.4320225715637207,,1779700637.5294561,98.5570601,,62,,2026
600.0,,1.4406143426895142,,1779700638.566497,99.5942945,,63,,2026
610.0,,1.4343972206115723,,1779700639.5787015,100.6067646,,64,,2026
620.0,,1.3985931873321533,,1779700640.572616,101.6002394,,65,,2026
630.0,,1.3902758359909058,,1779700641.5670688,102.59467,,66,,2026
640.0,,1.4011921882629395,,1779700642.5603354,103.5879383,,67,,2026
650.0,,1.3825242519378662,,1779700643.5523891,104.579992,,68,,2026
660.0,,1.3906835317611694,,1779700644.544585,105.5722598,,69,,2026
670.0,,1.388366460800171,,1779700645.5298927,106.5574945,,70,,2026
680.0,,1.3606475591659546,,1779700646.5098171,107.5374208,,71,,2026
690.0,,1.370826005935669,,1779700647.4970844,108.524702,,72,,2026
700.0,,1.3896623849868774,,1779700648.480649,109.5085187,,73,,2026
710.0,,1.3675090074539185,,1779700649.4633343,110.4909949,,74,,2026
720.0,,1.383909821510315,,1779700650.4439106,111.4715141,,75,,2026
730.0,,1.3953018188476562,,1779700651.4262831,112.4543306,,76,,2026
740.0,,1.3580901622772217,,1779700652.406766,113.4343977,,77,,2026
750.0,1.3043535947799683,,0.0009614856803571157,1779700666.2789013,127.3068272,1.5496047735214233,78,,2026
750.0,,1.3515617847442627,,1779700666.3830476,127.4106496,,79,,2026
760.0,,1.3677308559417725,,1779700667.3925896,128.4208891,,80,,2026
770.0,,1.3394001722335815,,1779700668.4020672,129.4296732,,81,,2026
780.0,,1.3645070791244507,,1779700669.416775,130.4448725,,82,,2026
790.0,,1.3179289102554321,,1779700670.4166172,131.4451727,,83,,2026
